iter	Passed	Remaining
622	4466	2702
623	4471	2694
624	4476	2685
625	4482	2678
626	4487	2669
627	4492	2661
628	4499	2653
629	4504	2645
630	4509	2636
631	4516	2629
632	4521	2621
633	4525	2612
634	4532	2605
635	4537	2596
636	4542	2588
637	4548	2581
638	4553	2572
639	4558	2564
640	4565	2556
641	4570	2548
642	4574	2540
643	4580	2532
644	4585	2523
645	4590	2515
646	4596	2507
647	4602	2500
648	4618	2497
649	4629	2492
650	4634	2484
651	4640	2476
652	4645	2468
653	4650	2460
654	4656	2452
655	4661	2444
656	4666	2436
657	4672	2428
658	4677	2420
659	4682	2412
660	4688	2404
661	4693	2396
662	4698	2388
663	4704	2380
664	4709	2372
665	4714	2364
666	4721	2357
667	4726	2349
668	4731	2341
669	4738	2333
670	4743	2325
671	4748	2317
672	4754	2310
673	4760	2302
674	4765	2294
675	4772	2287
676	4777	2279
677	4782	2271
678	4788	2263
679	4794	2256
680	4799	2248
681	4804	2240
682	4809	2232
683	4814	2224
684	4820	2216
685	4825	2208
686	4830	2200
687	4836	2193
688	4841	2185
689	4846	2177
690	4852	2169
691	4857	2162
692	4862	2154
693	4868	2146
694	4873	2138
695	4877	2130
696	4883	2123
697	4888	2115
698	4893	2107
699	4899	2099
700	4904	2091
701	4909	2084
702	4915	2076
703	4920	2068
704	4925	2061
705	4931	2053
706	4936	2045
707	4941	2038
708	4947	2030
709	4953	2023
710	4960	2016
711	4965	2008
712	4970	2000
713	4977	1993
714	4982	1985
715	4986	1978
716	4993	1971
717	4998	1963
718	5003	1955
719	5011	1948
720	5016	1941
721	5023	1934
722	5028	1926
723	5033	1918
724	5040	1911
725	5045	1904
726	5050	1896
727	5057	1889
728	5111	1900
729	5141	1901
730	5174	1904
731	5179	1896
732	5185	1888
733	5193	1882
734	5198	1874
735	5205	1867
736	5210	1859
737	5215	1851
738	5221	1844
739	5226	1836
740	5234	1829
741	5242	1822
742	5248	1815
743	5254	1808
744	5259	1800
745	5264	1792
746	5271	1785
747	5276	1777
748	5281	1769
749	5288	1762
750	5293	1754
751	5297	1747
752	5304	1739
753	5309	1732
754	5315	1725
755	5321	1717
756	5326	1709
757	5333	1702
758	5339	1695
759	5344	1687
760	5351	1680
761	5356	1673
762	5361	1665
763	5369	1658
764	5374	1650
765	5382	1644
766	5389	1637
767	5394	1629
768	5402	1622
769	5408	1615
770	5417	1608
771	5423	1601
772	5429	1594
773	5436	1587
774	5442	1580
775	5451	1573
776	5456	1566
777	5465	1559
778	5472	1552
779	5482	1546
780	5504	1543
781	5522	1539
782	5533	1533
783	5538	1525
784	5546	1519
785	5551	1511
786	5556	1503
787	5565	1497
788	5569	1489
789	5577	1482
790	5583	1475
791	5587	1467
792	5595	1460
793	5600	1452
794	5605	1445
795	5612	1438
796	5617	1430
797	5622	1423
798	5628	1415
799	5633	1408
800	5641	1401
801	5647	1394
802	5652	1386
803	5659	1379
804	5664	1372
805	5669	1364
806	5676	1357
807	5683	1350
808	5692	1343
809	5698	1336
810	5706	1329
811	5711	1322
812	5716	1314
813	5725	1308
814	5731	1301
815	5739	1294
816	5744	1286
817	5749	1279
818	5757	1272
819	5762	1264
820	5769	1257
821	5774	1250
822	5779	1243
823	5787	1236
824	5794	1229
825	5801	1222
826	5810	1215
827	5817	1208
828	5827	1201
829	5834	1194
830	5842	1188
831	5849	1181
832	5858	1174
833	5865	1167
834	5874	1160
835	5881	1153
836	5944	1157
837	5961	1152
838	5979	1147
839	6029	1148
840	6050	1143
841	6067	1138
842	6109	1137
843	6126	1132
844	6142	1126
845	6154	1120
846	6163	1113
847	6173	1106
848	6182	1099
849	6191	1092
850	6197	1085
851	6206	1078
852	6221	1072
853	6227	1064
854	6232	1056
855	6239	1049
856	6245	1042
857	6254	1035
858	6259	1027
859	6264	1019
860	6273	1012
861	6278	1005
862	6286	998
863	6292	990
864	6296	982
865	6304	975
866	6310	968
867	6319	961
868	6324	953
869	6329	945
870	6337	938
871	6342	930
872	6349	923
873	6355	916
874	6360	908
875	6367	901
876	6372	893
877	6377	886
878	6384	878
879	6389	871
880	6394	863
881	6402	856
882	6407	848
883	6414	841
884	6419	834
885	6424	826
886	6435	819
887	6457	814
888	6464	807
889	6470	799
890	6474	792
891	6482	784
892	6488	777
893	6495	770
894	6500	762
895	6505	755
896	6512	747
897	6517	740
898	6522	732
899	6529	725
900	6542	718
901	6549	711
902	6562	704
903	6571	697
904	6582	690
905	6591	683
906	6601	676
907	6611	669
908	6616	662
909	6628	655
910	6636	648
911	6645	641
912	6662	634
913	6674	628
914	6680	620
915	6690	613
916	6697	606
917	6707	599
918	6716	591
919	6731	585
920	6746	578
921	6778	573
922	6794	566
923	6810	560
924	6824	553
925	6838	546
926	6849	539
927	6923	537
928	6954	531
929	6964	524
930	7000	518
931	7063	515
932	7099	509
933	7133	504
934	7164	498
935	7183	491
936	7204	484
937	7235	478
938	7256	471
939	7273	464
940	7292	457
941	7319	450
942	7342	443
943	7368	437
944	7386	429
945	7407	422
946	7436	416
947	7448	408
948	7477	401
949	7492	394
950	7511	387
951	7525	379
952	7539	371
953	7553	364
954	7568	356
955	7580	348
956	7592	341
957	7606	333
958	7618	325
959	7639	318
960	7655	310
961	7672	303
962	7706	296
963	7718	288
964	7728	280
965	7739	272
966	7751	264
967	7762	256
968	7770	248
969	7777	240
970	7787	232
971	7793	224
972	7800	216
973	7807	208
974	7814	200
975	7822	192
976	7833	184
977	7839	176
978	7847	168
979	7854	160
980	7860	152
981	7874	144
982	7886	136
983	7900	128
984	7913	120
985	7924	112
986	7935	104
987	7945	96
988	7957	88
989	7971	80
990	7984	72
991	8011	64
992	8034	56
993	8064	48
994	8086	40
995	8115	32
996	8131	24
997	8144	16
998	8165	8
999	8181	0
